,ticker,cc_return,bh_return,vs_bh,final_value,premium_total,weeks,exercised,exercise_pct,max_drawdown
225,PNW,50.89,45.54,5.35,15088.81,997.21,261,6,2.3,26.09
226,ADM,50.18,39.93,10.26,15018.33,4079.69,261,16,6.1,46.0
227,AEE,49.92,47.05,2.88,14992.38,874.68,261,6,2.3,25.34
228,DUK,49.28,45.7,3.58,14927.94,589.16,261,4,1.5,23.68
229,ULTA,49.05,50.61,-1.56,14905.0,9138.36,261,22,8.4,44.87
230,T,48.45,49.16,-0.7,14845.2,2430.39,261,11,4.2,31.86
231,FE,48.08,44.19,3.89,14808.0,1152.53,261,6,2.3,27.66
232,SRE,48.05,55.66,-7.61,14805.41,2364.55,261,10,3.8,29.68
233,V,48.02,52.5,-4.48,14801.75,2086.72,261,10,3.8,30.06
234,CSX,47.68,50.88,-3.2,14768.07,1824.9,261,10,3.8,30.97
235,LNT,47.54,46.81,0.73,14754.08,918.91,261,6,2.3,26.84
236,KEY,47.36,17.44,29.92,14735.97,7860.06,261,26,10.0,54.38
237,PRU,47.22,23.92,23.3,14721.9,3358.57,261,10,3.8,32.07
238,EA,46.61,45.58,1.03,14660.92,2620.04,261,12,4.6,30.47
239,IR,46.49,45.77,0.72,14648.86,6475.21,261,23,8.8,35.84
240,PPL,46.1,43.28,2.83,14610.04,760.17,261,4,1.5,24.57
241,PEG,45.86,45.02,0.84,14586.47,1333.84,261,6,2.3,30.03
242,COF,45.77,29.47,16.31,14577.11,7714.35,261,25,9.6,44.35
243,CI,45.19,20.37,24.82,14519.4,4966.18,261,13,5.0,29.0
244,AON,45.09,32.89,12.2,14509.02,2603.64,261,10,3.8,23.78
245,NDSN,44.95,46.92,-1.97,14494.57,2903.21,261,16,6.1,39.1
246,LMT,44.74,55.72,-10.98,14473.6,2548.56,261,10,3.8,31.86
247,AXON,44.4,206.48,-162.08,14439.81,24624.99,261,43,16.5,62.77
248,KIM,43.96,43.95,0.01,14396.2,3242.51,261,19,7.3,31.89
249,DTE,42.5,39.38,3.12,14250.37,742.73,261,5,1.9,26.91
250,BSX,42.32,33.4,8.93,14232.26,4147.66,261,12,4.6,45.07
251,TMUS,42.27,45.63,-3.36,14226.9,2981.2,261,11,4.2,31.58
252,TXT,42.09,35.58,6.51,14209.11,4131.04,261,16,6.1,35.26
253,FITB,41.71,39.19,2.52,14171.28,5357.66,261,21,8.0,43.94
254,NEE,41.59,36.42,5.17,14158.8,3322.82,261,15,5.7,43.81
255,LII,41.31,55.14,-13.83,14131.4,6721.84,261,32,12.3,42.78
256,PCG,40.37,54.61,-14.25,14036.54,4722.54,261,22,8.4,35.44
257,HBAN,39.98,25.33,14.66,13998.16,5793.65,261,19,7.3,33.35
258,WEC,39.9,35.81,4.09,13990.39,762.16,261,4,1.5,24.16
259,UNP,39.8,38.72,1.08,13980.19,1794.02,261,12,4.6,30.52
260,DLR,39.77,47.9,-8.13,13976.96,3717.74,261,20,7.7,47.02
261,AMGN,39.59,50.72,-11.13,13958.77,2570.19,261,11,4.2,24.4
262,CMS,38.87,32.01,6.85,13886.63,747.16,261,3,1.1,25.81
